item_id,title,city,price,amenities
55,Studio Apartment in Chennai,Chennai,20348,"Parking, Lift, Power Backup, Play Area, Garden"
56,Studio Apartment in Kolkata,Kolkata,13258,"Lift, Swimming Pool, Garden, Gym, Security"
57,Luxury Villa in Coimbatore,Coimbatore,17391,"Swimming Pool, Gym, Play Area, Power Backup, Parking, Lift"
58,Studio Apartment in Jaipur,Jaipur,22007,"Garden, Play Area, Swimming Pool, Lift, Security, Power Backup"
59,2BHK Apartment in Kolkata,Kolkata,44479,"Lift, Play Area, Security, Swimming Pool, Parking"
60,Penthouse in Pune,Pune,5974,"Lift, Swimming Pool, Power Backup, Security, Play Area, Gym"
61,1BHK Apartment in Pune,Pune,15771,"Swimming Pool, Gym, Parking"
62,Luxury Villa in Hyderabad,Hyderabad,33795,"Swimming Pool, Security, Lift, Gym, Parking, Garden"
63,Studio Apartment in Bengaluru,Bengaluru,7683,"Garden, Security, Swimming Pool, Lift"
64,Penthouse in Chennai,Chennai,23557,"Security, Parking, Garden"
65,Luxury Villa in Pune,Pune,25762,"Lift, Parking, Garden"
66,3BHK Apartment in Coimbatore,Coimbatore,10035,"Gym, Security, Power Backup, Swimming Pool"
67,Studio Apartment in Chennai,Chennai,28304,"Play Area, Swimming Pool, Garden"
68,Penthouse in Hyderabad,Hyderabad,25846,"Power Backup, Garden, Play Area, Lift"
69,1BHK Apartment in Mumbai,Mumbai,17009,"Security, Play Area, Garden, Power Backup, Lift, Parking"
70,3BHK Apartment in Ahmedabad,Ahmedabad,47528,"Gym, Lift, Swimming Pool, Security, Garden"
71,Penthouse in Pune,Pune,32066,"Garden, Gym, Play Area"
72,Luxury Villa in Pune,Pune,44463,"Parking, Swimming Pool, Garden, Gym, Power Backup"
73,2BHK Apartment in Delhi,Delhi,40497,"Gym, Power Backup, Parking"
74,Studio Apartment in Ahmedabad,Ahmedabad,7678,"Swimming Pool, Garden, Gym"
75,3BHK Apartment in Bengaluru,Bengaluru,41457,"Garden, Power Backup, Security, Play Area"
76,Luxury Villa in Delhi,Delhi,31095,"Play Area, Swimming Pool, Lift, Garden, Gym"
77,Studio Apartment in Hyderabad,Hyderabad,44123,"Security, Swimming Pool, Gym"
78,Studio Apartment in Chennai,Chennai,13719,"Security, Parking, Gym, Garden, Lift"
79,Luxury Villa in Bengaluru,Bengaluru,13176,"Security, Lift, Parking"
80,Studio Apartment in Bengaluru,Bengaluru,25625,"Security, Lift, Parking, Power Backup, Gym"
81,1BHK Apartment in Ahmedabad,Ahmedabad,6065,"Parking, Play Area, Swimming Pool, Power Backup, Gym, Garden"
82,Penthouse in Pune,Pune,47708,"Gym, Power Backup, Garden, Parking"
83,Penthouse in Kolkata,Kolkata,16806,"Garden, Power Backup, Security, Gym, Parking, Play Area"
84,Luxury Villa in Mumbai,Mumbai,14662,"Garden, Lift, Parking, Power Backup, Play Area"
85,Studio Apartment in Delhi,Delhi,28429,"Security, Gym, Play Area, Power Backup, Parking, Lift"
86,Luxury Villa in Mumbai,Mumbai,34798,"Swimming Pool, Lift, Power Backup"
87,Penthouse in Delhi,Delhi,32967,"Swimming Pool, Lift, Power Backup, Garden, Security, Gym"
88,Penthouse in Coimbatore,Coimbatore,28170,"Power Backup, Security, Parking, Gym"
89,1BHK Apartment in Hyderabad,Hyderabad,44114,"Lift, Garden, Power Backup"
90,Luxury Villa in Ahmedabad,Ahmedabad,36559,"Parking, Play Area, Swimming Pool"
91,2BHK Apartment in Coimbatore,Coimbatore,26699,"Security, Lift, Gym, Parking, Play Area"
92,Penthouse in Delhi,Delhi,34761,"Power Backup, Garden, Gym, Security, Play Area"
93,Penthouse in Bengaluru,Bengaluru,45005,"Swimming Pool, Play Area, Lift"
94,Luxury Villa in Hyderabad,Hyderabad,35679,"Power Backup, Gym, Garden, Play Area, Security, Swimming Pool"
95,3BHK Apartment in Jaipur,Jaipur,29070,"Lift, Gym, Swimming Pool, Parking"
96,Penthouse in Kolkata,Kolkata,7158,"Play Area, Parking, Gym, Lift, Swimming Pool, Power Backup"
97,2BHK Apartment in Jaipur,Jaipur,38254,"Parking, Gym, Swimming Pool, Play Area, Lift, Security"
98,Luxury Villa in Jaipur,Jaipur,11370,"Parking, Security, Swimming Pool, Garden, Lift"
99,Penthouse in Hyderabad,Hyderabad,47650,"Play Area, Parking, Power Backup, Gym"
100,Studio Apartment in Delhi,Delhi,41285,"Parking, Lift, Play Area, Swimming Pool, Gym, Security"
